sra,url,biosample
ERR3322225,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322225&display=metadata,SAMEA5564709(ERS3366737)
ERR3322268,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322268&display=metadata,SAMEA5564709(ERS3366737)
ERR3322286,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322286&display=metadata,SAMEA5564709(ERS3366737)
SRR1276192,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR1276192&display=metadata,SAMN02767159(SRS604150)
SRR8837364,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR8837364&display=metadata,SAMN11289609(SRS4570710)
SRR2148788,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR2148788&display=metadata,SAMN03979180(SRS1028838)
ERR3587180,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3587180&display=metadata,SAMEA2623756(ERS494374)
ERR3010902,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3010902&display=metadata,SAMEA5185538(ERS2993038)
ERR3322236,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322236&display=metadata,SAMEA5564709(ERS3366737)
ERR3322232,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322232&display=metadata,SAMEA5564709(ERS3366737)
SRR2910869,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR2910869&display=metadata,SAMN04225651(SRS1155319)
SRR125368,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR125368&display=metadata,SAMN00103476(SRS084914)
ERR3587126,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3587126&display=metadata,SAMEA2622673(ERS492680)
SRR8837361,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR8837361&display=metadata,SAMN11289606(SRS4570716)
SRR8837358,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR8837358&display=metadata,SAMN11289612(SRS4570718)
SRR980293,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR980293&display=metadata,SAMN02354008(SRS479386)
