sra,url,biosample
ERR3322231,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322231&display=metadata,SAMEA5564709 (ERS3366737)
ERR3587190,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3587190&display=metadata,SAMEA2622478 (ERS492357)
ERR3587167,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3587167&display=metadata,SAMEA2623734 (ERS494332)
SRR6342614,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR6342614&display=metadata,SAMN08118040 (SRS2732275)
SRR2910868,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR2910868&display=metadata,SAMN04225650 (SRS1155320)
SRR10882125,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR10882125&display=metadata,SAMN13839569 (SRS5988698
SRR2148789,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR2148789&display=metadata,SAMN03979181 (SRS1028837)
ERR3587200,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3587200&display=metadata,SAMEA2622817 (ERS492888)
SRR1582031,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR1582031&display=metadata,SAMN03074554 (SRS706479)
ERR3587132,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3587132&display=metadata,SAMEA2620542 (ERS489529)
SRR5428677,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR5428677&display=metadata,SAMN06266374 (SRS2109288)
ERR1278931,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR1278931&display=metadata,SAMEA3878741 (ERS1065875)
ERR3322266,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322266&display=metadata,SAMEA5564709 (ERS3366737)
SRR125614,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR125614&display=metadata,SAMN00100727 (SRS105353)
ERR3322256,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322256&display=metadata,SAMEA5564709 (ERS3366737)
ERR3587121,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3587121&display=metadata,SAMEA2622316 (ERS492145)
SRR11450585,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR11450585&display=metadata,SAMN14480285 (SRS6400822)
SRR6342628,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR6342628&display=metadata,SAMN08118040 (SRS2732275)
ERR3322280,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322280&display=metadata,SAMEA5564709 (ERS3366737)
SRR2910861,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR2910861&display=metadata,SAMN04225643 (SRS1155327)
ERR3010913,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3010913&display=metadata,SAMEA5185549 (ERS2993049)
SRR985025,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR985025&display=metadata,SAMN02354017 (SRS498496)
ERR3322279,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322279&display=metadata,SAMEA5564709 (ERS3366737)
ERR3322264,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322264&display=metadata,SAMEA5564709 (ERS3366737)
