sra,url,biosample
ERR3322253,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322253&display=metadata,SAMEA5564709 (ERS3366737)
SRR6122752,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR6122752&display=metadata,SAMN07746097 (SRS2570835)
ERR3322219,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322219&display=metadata,SAMEA5564709 (ERS3366737)
ERR4181786,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR4181786&display=metadata,SAMEA6864579 (ERS4592154)
ERR3587166,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3587166&display=metadata,SAMEA2623390 (ERS493822)
SRR2910858,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR2910858&display=metadata,SAMN04225640 (SRS1155330)
SRR985031,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR985031&display=metadata,SAMN02354023 (SRS498503)
ERR3322220,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322220&display=metadata,SAMEA5564709 (ERS3366737)
SRR985022,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR985022&display=metadata,SAMN02354014 (SRS498494)
SRR7072206,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR7072206&display=metadata,SAMN08991397 (SRS3224578)
SRR125616,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR125616&display=metadata,SAMN00100729 (SRS105355)
SRR2910866,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR2910866&display=metadata,SAMN04225648 (SRS1155322)
SRR11450580,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR11450580&display=metadata,SAMN14480280 (SRS6400821)
SRR985423,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR985423&display=metadata,SAMN02354025 (SRS498505)
SRR125372,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR125372&display=metadata,SAMN00103484 (SRS084922)
SRR6122730,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR6122730&display=metadata,SAMN07746105 (SRS2570891)
SRR988026,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR988026&display=metadata,SAMN02354037 (SRS498517)
SRR2910862,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR2910862&display=metadata,SAMN04225644 (SRS1155326)
ERR3587198,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3587198&display=metadata,SAMEA2622710 (ERS492733)
SRR1276183,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR1276183&display=metadata,SAMN02767139 (SRS604143)
SRR984835,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR984835&display=metadata,SAMN02354010 (SRS498490)
