sra,url,biosample
ERR3322223,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322223&display=metadata,SAMEA5564709 (ERS3366737)
SRR5428638,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR5428638&display=metadata,SAMN06266374 (SRS2109288)
SRR5428640,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR5428640&display=metadata,SAMN06266374 (SRS2109288)
SRR5428633,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR5428633&display=metadata,SAMN06266374 (SRS2109288)
SRR5428668,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR5428668&display=metadata,SAMN06266374 (SRS2109288)
SRR5428654,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR5428654&display=metadata,SAMN06266374 (SRS2109288)
SRR5428642,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR5428642&display=metadata,SAMN06266374 (SRS2109288)
ERR3322238,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322238&display=metadata,SAMEA5564709 (ERS3366737)
SRR5428637,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR5428637&display=metadata,SAMN06266374 (SRS2109288)
ERR3322234,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322234&display=metadata,SAMEA5564709 (ERS3366737)
ERR3322221,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322221&display=metadata,SAMEA5564709 (ERS3366737)
ERR3322227,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322227&display=metadata,SAMEA5564709 (ERS3366737)
ERR3322254,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322254&display=metadata,SAMEA5564709 (ERS3366737)
ERR3322222,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322222&display=metadata,SAMEA5564709 (ERS3366737)
SRR6342641,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR6342641&display=metadata,SAMN08118040 (SRS2732275)
ERR3322233,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322233&display=metadata,SAMEA5564709 (ERS3366737)
SRR5428635,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR5428635&display=metadata,SAMN06266374 (SRS2109288)
SRR5428647,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR5428647&display=metadata,SAMN06266374 (SRS2109288)
SRR5428673,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR5428673&display=metadata,SAMN06266374 (SRS2109288)
SRR5428651,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR5428651&display=metadata,SAMN06266374 (SRS2109288)
