Metagenome	Run	Habitat
Activated_sludge	SRR7976357	Soil
Activated_sludge	SRR8554102	Soil
Activated_sludge	SRR8554104	Soil
Activated_sludge	SRR8554105	Soil
Activated_sludge	SRR8554343	Soil
Activated_sludge	SRR8554344	Soil
Activated_sludge	SRR8554345	Soil
Activated_sludge	SRR8554346	Soil
Activated_sludge	SRR8554347	Soil
Activated_sludge	SRR8554348	Soil
Activated_sludge	SRR8554349	Soil
Activated_sludge	SRR8554350	Soil
Activated_sludge	SRR8554351	Soil
Activated_sludge	SRR8554352	Soil
Activated_sludge	SRR8554353	Soil
Activated_sludge	SRR8554354	Soil
Activated_sludge	SRR8554355	Soil
Activated_sludge	SRR8554366	Soil
Activated_sludge	SRR8554367	Soil
Activated_sludge	SRR8554393	Soil
Activated_sludge	SRR8554394	Soil
Activated_sludge	SRR8554395	Soil
Activated_sludge	SRR8554396	Soil
Activated_sludge	SRR8554397	Soil
Activated_sludge	SRR8554407	Soil
Activated_sludge	SRR8554408	Soil
Activated_sludge	SRR8554409	Soil
Activated_sludge	SRR8554410	Soil
Activated_sludge	SRR8554411	Soil
Activated_sludge	SRR8554412	Soil
Activated_sludge	SRR8554413	Soil
Activated_sludge	SRR8554414	Soil
Activated_sludge	SRR8554415	Soil
Activated_sludge	SRR8554416	Soil
Activated_sludge	SRR8554417	Soil
Activated_sludge	SRR8554418	Soil
Activated_sludge	SRR8554419	Soil
Activated_sludge	SRR8554420	Soil
Activated_sludge	SRR8554421	Soil
Activated_sludge	SRR8554422	Soil
Activated_sludge	SRR8554423	Soil
Activated_sludge	SRR8554424	Soil
Activated_sludge	SRR8554425	Soil
Activated_sludge	SRR8554426	Soil
Activated_sludge	SRR8554427	Soil
Activated_sludge	SRR8554428	Soil
Activated_sludge	SRR8554429	Soil
Activated_sludge	SRR8554430	Soil
Activated_sludge	SRR8554432	Soil
Activated_sludge	SRR9002163	Soil
Activated_sludge	SRR9002164	Soil
Activated_sludge	SRR9002265	Soil
Activated_sludge	SRR9002266	Soil
Activated_sludge	SRR9002267	Soil
Activated_sludge	SRR9002405	Soil
Activated_sludge	SRR9002408	Soil
Activated_sludge	SRR9002409	Soil
Activated_sludge	SRR9002433	Soil
Activated_sludge	SRR9002434	Soil
Activated_sludge	SRR9002437	Soil
Activated_sludge	SRR9002442	Soil
Activated_sludge	SRR9002443	Soil
Air	SRR6399465	Other
Air	SRR6399466	Other
Air	SRR6399467	Other
Air	SRR6399468	Other
Air	SRR6399469	Other
Air	SRR6399470	Other
Air	SRR6399471	Other
Air	SRR6399472	Other
Air	SRR6399473	Other
Air	SRR6399474	Other
Air	SRR6399475	Other
Air	SRR6399476	Other
Air	SRR6399477	Other
Air	SRR6399478	Other
Air	SRR6399479	Other
Air	SRR6399480	Other
Air	SRR6399481	Other
Air	SRR6399482	Other
Air	SRR6399483	Other
Air	SRR6399484	Other
Air	SRR6399495	Other
Air	SRR6399496	Other
Air	SRR6399497	Other
Air	SRR6399498	Other
Air	SRR6399499	Other
Air	SRR6399500	Other
Air	SRR6399501	Other
Air	SRR6399502	Other
Air	SRR6399503	Other
Air	SRR6399504	Other
Air	SRR6399531	Other
Air	SRR6399532	Other
Air	SRR6399533	Other
Air	SRR6399534	Other
Air	SRR6399535	Other
Air	SRR6399536	Other
Air	SRR6399537	Other
Air	SRR6399538	Other
Air	SRR6399539	Other
Air	SRR6399540	Other
Air	SRR6399541	Other
Air	SRR6399542	Other
Air	SRR6399543	Other
Air	SRR6399544	Other
Air	SRR6399545	Other
Air	SRR6399546	Other
Air	SRR6399547	Other
Air	SRR6399548	Other
Air	SRR6399549	Other
Air	SRR6399550	Other
Air	SRR6399551	Other
Air	SRR6399552	Other
Air	SRR6399553	Other
Air	SRR6399554	Other
Air	SRR6399555	Other
Air	SRR6399556	Other
Air	SRR6399567	Other
Air	SRR6399570	Other
Air	SRR6399571	Other
Air	SRR6399572	Other
Air	SRR6399573	Other
Air	SRR6399574	Other
Air	SRR6399575	Other
Air	SRR6399576	Other
Air	SRR6399577	Other
Air	SRR6399578	Other
Air	SRR6399579	Other
Air	SRR6399602	Other
Air	SRR6399603	Other
Air	SRR6399604	Other
Air	SRR6399605	Other
Air	SRR6399606	Other
Air	SRR6399607	Other
Air	SRR6399608	Other
Air	SRR6399609	Other
Air	SRR6399628	Other
Air	SRR6399629	Other
Air	SRR6399630	Other
Air	SRR6399631	Other
Air	SRR6399632	Other
Air	SRR6399633	Other
Air	SRR6399634	Other
Air	SRR6399635	Other
Air	SRR6399636	Other
Air	SRR6399637	Other
Air	SRR6399638	Other
Air	SRR6399639	Other
Air	SRR6399640	Other
Air	SRR6399641	Other
Air	SRR6399642	Other
Air	SRR6399643	Other
Air	SRR6399644	Other
Air	SRR6399645	Other
Air	SRR6399646	Other
Air	SRR6399647	Other
Air	SRR6399648	Other
Air	SRR6399649	Other
Air	SRR6399650	Other
Air	SRR6399651	Other
Air	SRR6399652	Other
Air	SRR6399653	Other
Air	SRR6399654	Other
Air	SRR6399655	Other
Air	SRR6399656	Other
Air	SRR6399657	Other
Air	SRR6399658	Other
Air	SRR6399659	Other
Air	SRR6399660	Other
Air	SRR6399661	Other
Air	SRR6399662	Other
Air	SRR6399663	Other
Air	SRR6399674	Other
Air	SRR6399675	Other
Air	SRR6399676	Other
Air	SRR6399677	Other
Air	SRR6399678	Other
Air	SRR6399679	Other
Air	SRR6399680	Other
Air	SRR6399697	Other
Air	SRR6399698	Other
Air	SRR6399699	Other
Air	SRR6399700	Other
Air	SRR6399701	Other
Air	SRR6399702	Other
Air	SRR6399703	Other
Air	SRR6399704	Other
