sra,url,biosample
SRR8837357,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR8837357&display=metadata,SAMN11289611 (SRS4570719)
SRR6122731,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR6122731&display=metadata,SAMN07746102 (SRS2570888)
SRR125615,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR125615&display=metadata,SAMN00100728 (SRS105354)
ERR3477393,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3477393&display=metadata,SAMEA5768848 (ERS3572394)
ERR3587138,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3587138&display=metadata,SAMEA2621487 (ERS491001)
SRR8837360,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR8837360&display=metadata,SAMN11289605 (SRS4570717)
ERR3587186,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3587186&display=metadata,SAMEA2622219 (ERS492012)
SRR10882126,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR10882126&display=metadata,SAMN13839568 (SRS5988699)
SRR984839,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR984839&display=metadata,SAMN02354012 (SRS498492)
ERR3587119,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3587119&display=metadata,SAMEA2622173 (ERS491938)
ERR3587196,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3587196&display=metadata,SAMEA2621423 (ERS490928)
ERR3010903,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3010903&display=metadata,SAMEA5185539 (ERS2993039)
SRR11450578,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR11450578&display=metadata,SAMN14480282 (SRS6400824)
ERR3587115,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3587115&display=metadata,SAMEA2623390 (ERS493822)
ERR3587170,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3587170&display=metadata,SAMEA2622316 (ERS492145)
SRR6122737,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR6122737&display=metadata,SAMN07746101 (SRS2570839)
SRR6122739,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR6122739&display=metadata,SAMN07746118 (SRS2570904)
SRR125550,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR125550&display=metadata,SAMN00100719 (SRS105345)
SRR5428671,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR5428671&display=metadata,SAMN06266374 (SRS2109288)
ERR3587159,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3587159&display=metadata,SAMEA2622197 (ERS491980)
ERR4181783,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR4181783&display=metadata,SAMEA6864576 (ERS4592151)
ERR3322246,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322246&display=metadata,SAMEA5564709 (ERS3366737)
SRR2910863,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR2910863&display=metadata,SAMN04225645 (SRS1155325)
SRR985026,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR985026&display=metadata,SAMN02354018 (SRS498498)
